Displ.,Horse.,Weight.,Accel,MPG
151,90,3003,20.1,24.3
98,70,2120,15.5,32.1
151,90,2678,16.5,28
156,105,2800,14.4,27.9
140,88,2870,18.1,26.4
97,78,2188,15.8,34.3
146,67,3250,21.8,30
122,88,2500,15.1,35
89,62,1845,15.3,29.8
90,48,2335,23.7,43.4
90,48,2085,21.7,44.3
98,76,2144,14.7,41.5
85,65,2110,19.2,40.8
86,65,2019,16.4,37.2
119,92,2434,15,37
107,72,2290,17,32.4
91,67,1850,13.8,44.6
120,75,2542,17.5,31.3
86,65,2110,17.9,46.6
97,67,2145,18,33.8
89,60,1968,18.8,38.1
108,75,2265,15.2,32.2
134,90,2711,15.5,29.8
151,84,2635,16.4,26.6
156,92,2620,14.4,25.8
98,65,2380,20.7,29.9
98,65,2045,16.2,34.4
86,64,1875,16.4,39
105,63,2215,14.9,34.7
135,84,2490,15.7,27.2
135,84,2385,12.9,30
141,80,3230,20.4,28.1
105,74,2190,14.2,33
119,100,2615,14.8,32.9
85,65,1975,19.4,37
81,60,1760,16.1,35.1
107,75,2210,14.4,33.7
120,74,2635,18.3,31.6
91,68,1985,16,34.1
97,67,2065,17.8,32.3
108,75,2350,16.8,32.4
79,58,1755,16.9,39.1
89,62,2050,17.3,37.7
151,90,2950,17.3,27
112,88,2395,18,34
112,88,2640,18.6,27
112,88,2605,19.6,28
119,82,2720,19.4,31
156,92,2585,14.5,26
135,84,2525,16,29
135,84,2370,13,36
135,84,2295,11.6,32
140,92,2865,16.4,24
140,86,2790,15.6,27
120,79,2625,18.6,28
98,70,2125,17.3,36
105,63,2125,14.7,38
112,85,2575,16.2,31
151,90,2735,18,27
105,74,1980,15.3,36
97,52,2130,24.6,44
91,67,1995,16.2,38
107,75,2205,14.5,36
91,67,1965,15.7,32
91,67,1965,15,38
91,68,2025,18.2,37
91,68,1970,17.6,31
120,88,2160,14.5,36
144,96,2665,13.9,32
108,70,2245,16.9,34
