x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
9.5012929e-001,1.5683487e-001,9.8624968e-001,8.0958176e-002,4.9363884e-001,5.4838705e-001,2.7156445e-001,2.7901746e-001,8.2139758e-001,7.1220758e-002,1.2086253e+001
2.3113851e-001,4.1635311e-001,8.8530493e-001,3.0149055e-001,4.1259155e-001,8.6400475e-001,9.0349280e-001,6.4973220e-001,7.3633635e-001,5.7107226e-001,9.3589482e+000
6.0684258e-001,9.4034869e-002,4.0484426e-001,1.8002420e-001,9.8025001e-001,4.5655210e-001,6.0126952e-003,1.8793845e-001,9.8059865e-001,9.7195489e-001,8.7910592e+000
4.8598247e-001,4.4994645e-001,6.2714349e-001,7.1616581e-001,5.4696726e-001,7.1258360e-001,5.3848707e-001,7.9256370e-001,8.2441639e-001,1.3440372e-001,1.6849375e+001
8.9129897e-001,8.6915243e-001,3.8545599e-001,7.9026490e-001,6.7806020e-001,3.2946460e-001,2.1545238e-001,4.8098925e-001,6.7010699e-001,4.0385919e-001,1.6911134e+001
7.6209683e-001,3.9161722e-001,8.4786088e-001,3.3132762e-001,5.0923654e-001,4.1575875e-001,7.7937027e-001,7.1691441e-001,9.8731981e-001,3.4133476e-001,1.7531975e+001
4.5646767e-001,2.5278365e-001,5.2684857e-001,7.8161564e-001,8.2935442e-001,1.9038808e-001,5.2446219e-001,7.5959961e-001,5.4823776e-001,6.0232827e-001,1.6712645e+001
1.8503643e-002,3.5438193e-001,8.0740365e-001,7.7665923e-001,8.1668319e-001,8.3117719e-001,8.5415561e-001,9.7920021e-001,9.1141989e-001,2.1785863e-001,1.3908306e+001
8.2140716e-001,7.4297797e-001,3.9349651e-001,1.0469363e-001,2.2017400e-001,8.6872360e-001,7.8452675e-001,1.1832068e-001,6.6210537e-001,2.7698340e-002,1.2107704e+001
4.4470336e-001,6.5083202e-001,9.6173407e-001,3.2897958e-001,9.1488660e-002,6.1782507e-001,5.4149859e-001,8.4126594e-001,8.3970392e-001,3.8185096e-001,1.6076353e+001
6.1543235e-001,9.3979304e-001,3.0120594e-002,2.6110583e-001,4.5258955e-001,1.1614269e-001,4.0588641e-003,8.8862278e-001,2.0244882e-001,5.1218089e-001,1.8801401e+001
7.9193704e-001,8.3279912e-001,9.5372993e-001,3.8839934e-001,7.6619821e-001,6.0818295e-001,7.6630325e-001,4.0056169e-001,8.0346023e-001,6.9155923e-002,2.1328446e+001
9.2181297e-001,4.6997787e-001,7.1438490e-001,8.9737365e-001,2.6305309e-001,4.3632643e-001,2.4729124e-001,1.3890808e-001,7.1729269e-001,6.8294315e-001,2.0400715e+001
7.3820725e-001,6.2986561e-001,6.4654823e-001,7.6677757e-001,9.4327013e-001,4.3282873e-001,6.6547058e-001,6.2374459e-001,7.6252432e-001,5.2717454e-002,2.4936351e+001
1.7626614e-001,5.8187848e-002,4.4665226e-001,2.4429067e-001,4.6381924e-001,6.3319988e-001,1.0888094e-001,8.0925189e-001,1.0477573e-001,2.3707689e-001,5.0046898e+000
4.0570621e-001,5.4218740e-001,1.7462691e-001,4.5464755e-001,4.8944965e-001,5.9611177e-001,5.6140204e-002,7.9860714e-001,6.5523422e-001,7.4724331e-002,1.5598493e+001
9.3546970e-001,4.5572596e-001,8.3524708e-001,2.7235753e-001,7.2768917e-001,3.3614759e-001,1.7388568e-001,2.4690273e-001,4.4598293e-001,8.3233077e-001,1.9409882e+001
9.1690444e-001,8.6308689e-001,9.7009385e-001,4.2318135e-001,9.1306652e-001,2.1087927e-001,2.1943184e-001,4.4278873e-001,5.5917445e-001,2.8610574e-001,1.9371243e+001
4.1027021e-001,8.5519697e-001,1.3497490e-001,6.9898096e-001,5.5377559e-001,4.4068969e-001,2.5187888e-001,2.5883834e-001,3.3390768e-001,3.9482669e-002,2.1250230e+001
8.9364953e-001,4.7225568e-001,2.5098901e-001,8.1743215e-001,4.4682072e-001,2.6833934e-001,5.1740502e-001,6.5938903e-001,3.2874140e-001,8.1054227e-001,2.0517708e+001
5.7891305e-002,7.8692439e-001,9.1000712e-001,8.2547435e-001,7.5780215e-001,5.6814457e-001,1.2254750e-001,9.8020507e-001,5.4201158e-004,7.1911155e-001,1.7126588e+001
3.5286813e-001,6.5598214e-001,6.7646591e-001,4.0326491e-001,6.9147676e-001,1.2476750e-001,5.1340571e-002,2.6483980e-001,3.8282116e-002,4.4672428e-001,1.3424466e+001
8.1316650e-001,3.9889599e-005,6.2316075e-001,6.5159881e-001,6.0204857e-001,7.3817319e-001,6.3087588e-001,9.1553349e-001,7.8053935e-001,7.4615942e-002,1.0544946e+001
9.8613007e-003,1.3123716e-001,5.1221569e-001,1.5243131e-001,1.2232490e-001,8.4884008e-001,6.0741647e-001,8.1601866e-002,1.3727212e-002,7.3785602e-001,3.8031416e+000
1.3889088e-001,4.9487476e-001,3.4827455e-003,3.3990600e-001,3.9084185e-001,9.8243153e-001,7.7134266e-002,1.2947059e-001,4.3264568e-001,8.1346296e-001,1.1734669e+001
2.0276522e-001,3.8333157e-002,2.2688831e-001,1.9285359e-002,6.7622708e-001,6.2037751e-001,4.5719129e-001,5.3392949e-001,6.1673633e-001,7.0983930e-001,6.1679458e+000
1.9872174e-001,2.2743581e-001,9.7845729e-001,7.6829232e-001,8.0587391e-001,5.5467590e-001,4.9706641e-001,7.5185083e-001,4.9024047e-001,8.9165254e-001,1.8959844e+001
6.0379248e-001,3.2788296e-001,8.6125240e-001,4.5787814e-001,9.5587569e-002,5.9613626e-001,6.2138135e-001,9.6689527e-001,7.8020219e-002,2.4013458e-002,1.1899278e+001
2.7218792e-001,8.9946879e-001,1.4385224e-002,4.3557565e-002,2.7687287e-001,8.8711163e-001,4.1044764e-001,6.8698807e-001,5.5157936e-001,6.9209628e-001,1.2050578e+001
1.9881427e-001,3.1373049e-001,4.8577686e-001,9.9561823e-002,3.5233652e-002,9.4020375e-001,2.4580131e-001,1.1937374e-001,6.0754607e-002,8.4687942e-001,3.6940038e+000
1.5273927e-002,2.5167601e-001,4.1640296e-001,9.5692431e-001,4.5439859e-001,8.1776841e-001,8.6894486e-001,4.6110120e-001,9.3341225e-001,9.0616331e-001,1.1701882e+001
7.4678568e-001,4.3298913e-001,7.7290242e-001,6.0880355e-001,5.3261719e-001,1.4588926e-001,6.0292693e-001,3.2500156e-001,5.5481206e-001,2.5586596e-001,1.9429838e+001
4.4509643e-001,8.4238224e-001,4.8814753e-001,2.4674587e-001,2.6594578e-001,7.2980959e-001,6.6277404e-001,1.7072506e-002,1.9050654e-001,1.1284406e-001,1.3853709e+001
9.3181458e-001,1.8448899e-001,5.2256457e-001,9.2951943e-001,1.0268147e-001,9.7305161e-001,4.1894688e-001,7.0444416e-001,2.9386334e-001,6.4164545e-001,1.5672651e+001
4.6599434e-001,5.0817921e-001,7.8204943e-001,4.2992799e-001,5.4912659e-001,7.8054168e-001,4.6043186e-001,9.4911546e-001,9.6871654e-001,8.5494494e-001,1.6698242e+001
4.1864947e-001,4.5223967e-001,5.9122935e-001,4.8975212e-002,9.3576126e-001,2.2341563e-001,9.3908639e-001,9.0205439e-001,8.2854600e-001,8.9181537e-001,1.1607025e+001
8.4622142e-001,3.2558444e-001,1.2639278e-001,9.0487865e-001,1.4365175e-001,6.9589931e-001,4.9276550e-001,2.8081267e-001,9.0858766e-001,2.3694549e-001,2.1364119e+001
5.2515250e-001,3.8007631e-001,1.0971927e-001,9.7823434e-001,5.3984560e-001,7.1437208e-001,4.8243698e-001,7.7235626e-002,8.9672103e-001,5.7879360e-001,2.0193126e+001
2.0264736e-001,8.8647996e-001,6.6290539e-001,6.5778140e-001,2.0507271e-001,1.4935538e-001,7.6087608e-001,2.3463681e-001,7.3792560e-001,8.5002479e-001,1.3462942e+001
6.7213747e-001,7.6126076e-001,9.9709311e-001,7.2696148e-001,5.7583333e-001,3.3069397e-001,6.5988694e-001,3.6046095e-001,7.3549392e-002,9.9260436e-002,2.4927373e+001
