dirt,damp,biomass
270,38.05,11.730
100,45.57,4.350
370,45.57,27.190
990,62.26,23.730
680,58.48,8.970
900,57.12,10.780
1610,68.69,10.640
980,66.25,12.420
990,66.89,3.820
2920,70.91,26.310
2620,71.13,21.950
1790,57.33,0.000
3550,70.59,0.000
1700,68.79,26.920
3100,70.38,0.000
4000,67.42,0.000
3660,65.19,0.000
4070,66.77,0.000
4750,66.88,0.000
5550,77.17,0.000
520,68.43,2.700
1600,57.98,0.000
580,27.17,4.440
790,50.26,0.000
90,31.31,0.000
670,56.38,16.380
1450,58.14,10.070
890,43.03,57.670
550,46.72,12.340
890,64.58,14.050
450,47.89,13.650
210,31.82,2.230
570,58.55,19.550
680,46.18,10.470
50,31.81,39.090
30,26.76,3.470
50,31.31,3.000
3630,86.49,36.400
1900,72.07,0.910
1130,67.39,0.000
1950,76.11,0.500
140,37.64,3.410
20,32.72,3.790
10,48.78,38.330
320,51.89,0.360
500,57.77,0.430
820,67.29,40.450
300,64.99,3.000
260,57.09,15.800
220,30.6,1.040
